Point ID,Y,Z
423,196.07243716847702,143.75
424,190.04424898220338,135.60276595846167
425,136.25178971096275,121.35694558823208
426,134.81584295831445,113.9286899813254
427,143.10871862946104,103.23504866832594
428,135.86082968023678,106.17670650583523
429,149.5428355793052,120.04992688565179
430,172.6768726331982,105.91715448083195
431,166.73136426321494,88.89523232920381
432,160.7768401035628,102.65212651654176
433,172.10465018197195,96.56772279116025
434,175.74797966552046,88.29839915332708
435,180.5442326484373,72.36050067773293
436,180.39376248623395,81.00584576472365
437,190.77946999338582,79.90479879760933
438,168.66996672044056,76.47781391312547
439,200.0,62.5
440,190.9043204191594,69.02026968037242
441,190.1127388847317,58.31172121641862
442,191.35570490264527,49.75371144421252
443,179.2431860019324,61.19146415351388
444,171.94190815611026,52.88634884520333
445,172.26501607225723,67.66462538428179
446,161.75,42.0
447,162.08244476699116,68.65081665253851
448,149.8475239069199,54.59650094657552
449,155.83302696509114,78.83909152417034
450,166.422358764961,60.39969709685576
451,154.54371984206378,49.13042225025428
452,145.25,42.0
453,158.1933985096189,57.01646722066131
454,141.125,50.64282213478741
455,142.42861874769477,59.36537034272142
456,134.2416778227265,57.811418139852776
457,39.88720103337403,150.96574880227354
458,12.5,200.0
459,4.300498378249636,43.75
460,7.792454896859762,36.7427125606616
461,38.0,42.0
462,51.87890058640128,62.68487697835251
463,56.99034097105637,54.02575667493702
464,54.5,42.0
465,51.067991309044395,48.98144698948893
466,6.44629871645193,18.75
467,9.328201566130291,9.328201566130291
468,35.142430853949236,20.545885228011922
469,5.364979553426442,93.75
470,40.42089742967641,13.80926544499984
471,45.4252466665792,7.053632075131485
472,34.50508278080754,7.847019336531592
473,181.25,195.2347909258073
474,191.89038597811452,191.89038597811452
475,192.07091186996712,182.53889177893163
476,117.50700899622812,181.26805974846366
477,112.5,200.0
478,146.86064258777398,110.38047927867515
479,153.10897950183306,105.23825745739796
480,152.87154789251736,91.87363169075344
481,149.23341423577205,98.62268754384924
482,143.1459312327557,90.98606938180333
483,160.58370140350533,109.73714657459182
484,149.25614985328707,74.79694837530192
485,144.1991620370769,68.83346459923602
486,163.04261356943093,81.95930989535029
487,17.06811657404665,191.99822592592807
488,8.779106880237462,188.81929795941414
489,12.5,0.0
490,106.25,191.03945461331173
491,113.24676132816927,192.81916531441294
492,102.86317716418654,184.6319512276065
493,98.50576188063327,192.29779861814862
494,160.67298673736408,94.44005163507468
495,150.5672857002112,84.49640005410988
496,6.25,195.87047488624486
497,19.627744992797805,11.335795141238698
498,26.401103932855907,7.604916480763571
499,18.75,3.978908697297398
500,125.0,0.0
501,137.5,0.0
502,129.40265560334535,14.373102999336421
503,122.65458160508452,8.57927495126542
504,112.5,0.0
505,114.2922540351257,12.30770176663654
506,104.52240590926786,10.629278737812125
507,143.75,5.774191633677429
508,135.55693474409279,8.372782794159715
509,141.97705355442469,14.399492747015382
510,115.95354226805246,22.419016702342308
511,106.25,3.617538392085998
512,35.91319268695013,112.54901712208631
513,69.23128657203907,67.47681202222122
514,178.47102511704426,43.10524732385424
515,136.0330306805419,84.75381006386608
516,34.67469971890606,49.676269080997194
517,42.32339378819985,48.76827464204638
518,163.69759467181538,50.39069983879846
